,X1,X2,Alignment
344,22.450148,25.947937,bad
345,-2.8364868,-10.966663,bad
346,-9.601773,-22.716368,bad
347,4.588993,0.16105251,good
348,15.554132,10.984564,good
349,-8.359293,-3.2218974,
350,-25.556894,-18.66933,good
351,17.316599,13.892013,
352,-17.864313,-10.466102,bad
353,18.661882,8.533936,good
354,14.523938,10.264768,bad
355,-8.509994,-19.925554,good
356,11.365331,5.7397604,bad
357,21.840086,18.22778,neutral
358,-3.9586236,-21.164568,good
359,5.8706813,6.620651,good
360,9.308229,7.5486403,bad
361,-16.400871,-16.142324,good
362,-2.7869005,-10.240172,good
363,-12.286442,-15.290176,
364,10.590832,4.8334813,good
365,12.363231,4.0360947,bad
366,7.7997127,-1.4883786,good
367,-23.99463,-25.266783,good
368,-7.8678446,-19.158533,bad
369,1.9578816,-5.935347,good
370,-15.690001,-21.285242,good
371,14.0209,16.301882,good
372,3.6742606,10.4629345,bad
373,-9.420215,-10.398301,good
374,-14.610654,-5.832247,bad
375,6.003111,22.812435,
376,-24.38727,-20.635187,
377,-23.881578,-24.178234,good
378,-24.173235,-22.986364,good
379,-25.068733,-24.011719,good
380,-7.9285574,-16.453165,good
381,3.639254,13.490866,
382,-14.117539,-5.406619,good
383,10.975712,9.407833,good
384,-20.563522,-14.777145,good
385,19.577967,17.455835,bad
386,17.461899,22.33352,bad
387,-8.383552,-23.183176,
388,-22.253962,-24.894318,
389,-23.449425,-19.52021,
390,21.470081,19.132395,
391,-7.6791034,-12.673046,bad
392,0.34773487,-18.597954,
393,1.3148857,-18.31204,good
394,23.989517,24.295187,good
395,10.613001,20.85425,good
396,-1.1711133,5.094687,bad
397,-14.906419,-18.26184,
398,14.243801,13.410829,bad
399,12.111875,20.641775,good
400,-8.198148,-10.854757,good
401,-20.797794,-17.005585,good
402,-6.6946645,-18.889149,good
403,-4.216183,7.3402796,bad
404,-14.370543,-16.273632,bad
405,-4.5819798,-12.285794,
406,-7.158447,-17.703701,good
407,-5.770307,-11.790336,good
408,7.1398263,22.440577,good
409,-18.776302,-19.73369,
410,-3.2746887,4.893502,good
411,10.944617,-3.5693786,good
412,-17.65697,-17.87528,good
413,-13.648495,-14.722,good
414,14.00756,8.718523,good
415,-7.5548663,-10.384786,
416,-3.296673,6.8896475,good
417,-21.564257,-19.692446,good
418,3.0122647,-4.8757396,good
419,13.526294,11.439228,good
420,-1.5302544,-5.8331122,
421,18.221064,13.816645,
422,0.6993923,-11.9344225,bad
423,-7.1434174,-22.589857,good
424,-15.403372,-21.837896,good
425,-11.538668,-22.721422,
426,22.661999,14.139377,
427,1.656967,-11.394448,
428,-15.630058,-15.869531,
429,11.21604,20.309988,bad
430,16.107224,13.322412,good
431,-4.5161476,-20.396212,
432,3.2505076,13.481257,good
433,-6.2225246,10.02698,good
